Year,Congo,Egypt,Ethiopia,Senegal
2000,96.2,28.5,79.3,48.2
2005,96.8,28.7,83.2,49.3
2010,97.2,30.8,83.7,53.3
2015,96.2,32.2,84.9,59.5
2018,96.9,27.1,85.9,59.5
2019,97.4,23.2,86.3,58.1
2020,97.1,21.2,86.3,58.1
2021,97.7,21.6,86.8,58.6
2022,97.8,22.2,87,59.4
